#JD       Mag   Obs  Type
40214.6   5.6   BRG   Vis.
40215.5   6.3   RB   Vis.
40215.6   5.8   GRN   Vis.
40216.6   7   VAM   Vis.
40216.6   6.2   RB   Vis.
40216.6   6.2   FT   Vis.
40216.7   6.7   SWR   Vis.
40217.6   6.3   RB   Vis.
40217.6   6.2   FT   Vis.
40217.8   6.9   HAE   Vis.
40218.5   6.3   RB   Vis.
40219.5   6.5   RB   Vis.
40219.6   7.1   VAM   Vis.
40219.7   6.2   SKL   Vis.
40220.5   6.9   HE   Vis.
40220.5   6.4   FT   Vis.
40220.5   6.8   FRW   Vis.
40220.6   6.5   RB   Vis.
40220.6   6.6   FT   Vis.
40220.6   7   FD   Vis.
40221.3   6   DK   Vis.
40221.5   6.5   FT   Vis.
40222.5   7.3   VAM   Vis.
40223.5   6.9   HE   Vis.
40223.7   7.2   SKL   Vis.
40224.5   7.2   VAM   Vis.
40224.5   6.7   OV   Vis.
40226.5   7   HE   Vis.
40226.6   7   TJ   Vis.
40227.6   7.4   VAM   Vis.
40227.6   6.3   PO   Vis.
40228.5   7   RB   Vis.
40228.6   7   CR   Vis.
40229.21   7.2   BQ   Vis.
40229.4   7.1   KOJ   Vis.
40229.5   7.3   KRJ   Vis.
40229.7   7.1   RB   Vis.
40230.24   7.1   BQ   Vis.
40230.3   6.7   LKS   Vis.
40230.5   7.4   VAM   Vis.
40230.5   7.1   RB   Vis.
40231.22   7   BQ   Vis.
40231.5   7.1   RB   Vis.
40231.6   7   HE   Vis.
40231.6   7.2   ASH   Vis.
40231.6   7.4   AD   Vis.
40232.24   6.9   BQ   Vis.
40232.6   7.1   RB   Vis.
40232.6   7.2   BRJ   Vis.
40233.19   7.1   BQ   Vis.
40233.5   7.1   SHA   Vis.
40233.5   7   BJ   Vis.
40233.6   7.6   VAM   Vis.
40234.6   6.8   RB   Vis.
40235.5   7.2   RB   Vis.
40235.6   7.5   AD   Vis.
40236.22   7.2   BQ   Vis.
40236.3   6.7   DK   Vis.
40236.5   7.5   RB   Vis.
40237.4   7.1   KOJ   Vis.
40237.5   7.2   OV   Vis.
40237.6   7.2   RB   Vis.
40238.4   7.1   KOJ   Vis.
40238.6   7.1   BJ   Vis.
40239.25   6.9   BQ   Vis.
40239.3   7.2   DKF   Vis.
40241.6   7.3   FT   Vis.
40242.5   7.2   RB   Vis.
40242.5   7.3   LGH   Vis.
40242.7   7.3   MJR   Vis.
40243.2   7.2   BQ   Vis.
40243.3   6.9   DK   Vis.
40244.5   7.2   DHG   Vis.
40244.5   7.1   DHD   Vis.
40245.5   7.6   RB   Vis.
40247.6   7.7   RB   Vis.
40247.6   7.1   HE   Vis.
40248.6   7.7   BRJ   Vis.
40249.3   6.9   DK   Vis.
40249.4   7.3   KOJ   Vis.
40249.5   7.2   HE   Vis.
40249.5   7.5   DOK   Vis.
40251.5   7   SSL   Vis.
40251.6   7.4   MLM   Vis.
40252.4   7.3   KOJ   Vis.
40253.3   7   DK   Vis.
40253.4   7.3   KOJ   Vis.
40253.5   7.7   SHA   Vis.
40254.6   7.6   MJ   Vis.
40255.3   7.4   KOJ   Vis.
40256.3   7.4   DK   Vis.
40256.5   7.4   PO   Vis.
40257.5   7.8   RB   Vis.
40257.5   7.7   HE   Vis.
40257.6   7.5   AD   Vis.
40258.5   7.8   RB   Vis.
40258.5   7.7   HE   Vis.
40260.6   7.6   FT   Vis.
40262.3   7.7   KOJ   Vis.
40262.6   7.5   MLM   Vis.
40263.3   7.3   DK   Vis.
40263.5   8   HE   Vis.
40265.4   7.9   KOJ   Vis.
40265.5   7.9   RB   Vis.
40265.5   8.2   HE   Vis.
40265.6   7.8   MJ   Vis.
40265.6   7.7   AD   Vis.
40266.5   8   RB   Vis.
40266.5   8   NBY   Vis.
40268.5   8.1   BRJ   Vis.
40269.3   8.1   KOJ   Vis.
40269.3   7.5   DK   Vis.
40269.5   8.3   SHA   Vis.
40269.7   7.8   HAE   Vis.
40270.5   8.2   RB   Vis.
40270.6   8.1   CR   Vis.
40271.3   8.1   KOJ   Vis.
40274.5   8.3   HE   Vis.
40274.5   8.4   BRJ   Vis.
40276.3   8.1   DK   Vis.
40279.5   8.4   RB   Vis.
40279.5   8.4   BJ   Vis.
40282.3   9.1   DK   Vis.
40283.6   8.3   CR   Vis.
40286.5   8.5   BRJ   Vis.
40289.3   9   DK   Vis.
40292.5   8.7   HE   Vis.
40295.5   8.8   HE   Vis.
40296.5   8.7   BJ   Vis.
